country,country_code_2_digit,country_code_3_digit,population,reported_date,source,ecdc_year_week,week_start_date,week_end_date,new_ICU_admissions_count,new_hospital_admissions_count
Cyprus,CY,CYP,875899,2023-03-26,TESSy RESPISURV,2023-W12,2023-03-19,2023-03-25,,0
Cyprus,CY,CYP,875899,2023-03-12,TESSy RESPISURV,2023-W10,2023-03-05,2023-03-11,,0
Cyprus,CY,CYP,875899,2023-03-05,TESSy RESPISURV,2023-W09,2023-02-26,2023-03-04,,0
Cyprus,CY,CYP,875899,2023-02-26,TESSy RESPISURV,2023-W08,2023-02-19,2023-02-25,,0
Cyprus,CY,CYP,875899,2023-02-19,TESSy RESPISURV,2023-W07,2023-02-12,2023-02-18,,0
Cyprus,CY,CYP,875899,2023-02-12,TESSy RESPISURV,2023-W06,2023-02-05,2023-02-11,,0
Cyprus,CY,CYP,875899,2023-02-05,TESSy RESPISURV,2023-W05,2023-01-29,2023-02-04,,0
Cyprus,CY,CYP,875899,2023-01-29,TESSy RESPISURV,2023-W04,2023-01-22,2023-01-28,,0
Cyprus,CY,CYP,875899,2023-01-22,TESSy RESPISURV,2023-W03,2023-01-15,2023-01-21,0,0
Cyprus,CY,CYP,875899,2023-01-15,TESSy RESPISURV,2023-W02,2023-01-08,2023-01-14,0,0
Cyprus,CY,CYP,875899,2023-01-08,TESSy RESPISURV,2023-W01,2023-01-01,2023-01-07,,1
Cyprus,CY,CYP,875899,2023-01-01,TESSy RESPISURV,2022-W52,2022-12-18,2022-12-24,,0
Cyprus,CY,CYP,875899,2022-12-25,TESSy RESPISURV,2022-W51,2022-12-11,2022-12-17,,1
Cyprus,CY,CYP,875899,2022-12-18,TESSy RESPISURV,2022-W50,2022-12-04,2022-12-10,0,1
Cyprus,CY,CYP,875899,2022-12-11,TESSy RESPISURV,2022-W49,2022-11-27,2022-12-03,0,1
Cyprus,CY,CYP,875899,2022-12-04,TESSy RESPISURV,2022-W48,2022-11-20,2022-11-26,,2
Cyprus,CY,CYP,875899,2022-11-27,TESSy RESPISURV,2022-W47,2022-11-13,2022-11-19,0,2
Cyprus,CY,CYP,875899,2022-11-20,TESSy RESPISURV,2022-W46,2022-11-06,2022-11-12,,2
Cyprus,CY,CYP,875899,2022-11-13,TESSy RESPISURV,2022-W45,2022-10-30,2022-11-05,0,1
Cyprus,CY,CYP,875899,2022-11-06,TESSy RESPISURV,2022-W44,2022-10-23,2022-10-29,0,2
Cyprus,CY,CYP,875899,2022-10-30,TESSy RESPISURV,2022-W43,2022-10-16,2022-10-22,,1
Cyprus,CY,CYP,875899,2022-10-23,TESSy RESPISURV,2022-W42,2022-10-09,2022-10-15,,0
Cyprus,CY,CYP,875899,2022-10-16,TESSy RESPISURV,2022-W41,2022-10-02,2022-10-08,,0
Cyprus,CY,CYP,875899,2022-10-09,TESSy RESPISURV,2022-W40,2022-09-25,2022-10-01,,0
Cyprus,CY,CYP,875899,2022-10-02,TESSy RESPISURV,2022-W39,2022-09-18,2022-09-24,,1
Cyprus,CY,CYP,875899,2022-09-25,TESSy RESPISURV,2022-W38,2022-09-11,2022-09-17,,1
Cyprus,CY,CYP,875899,2022-09-18,TESSy RESPISURV,2022-W37,2022-09-04,2022-09-10,,1
Cyprus,CY,CYP,875899,2022-09-11,TESSy RESPISURV,2022-W36,2022-08-28,2022-09-03,,0
Cyprus,CY,CYP,875899,2022-09-04,TESSy RESPISURV,2022-W35,2022-08-21,2022-08-27,,0
Cyprus,CY,CYP,875899,2022-08-28,TESSy RESPISURV,2022-W34,2022-08-14,2022-08-20,,0
Cyprus,CY,CYP,875899,2022-08-21,TESSy RESPISURV,2022-W33,2022-08-07,2022-08-13,,2
Cyprus,CY,CYP,875899,2022-08-14,TESSy RESPISURV,2022-W32,2022-07-31,2022-08-06,,0
Cyprus,CY,CYP,875899,2022-08-07,TESSy RESPISURV,2022-W31,2022-07-24,2022-07-30,,0
Cyprus,CY,CYP,875899,2022-07-31,TESSy RESPISURV,2022-W30,2022-07-17,2022-07-23,0,0
Cyprus,CY,CYP,875899,2022-07-24,TESSy RESPISURV,2022-W29,2022-07-10,2022-07-16,,0
Cyprus,CY,CYP,875899,2022-07-17,TESSy RESPISURV,2022-W28,2022-07-03,2022-07-09,0,2
Cyprus,CY,CYP,875899,2022-07-10,TESSy RESPISURV,2022-W27,2022-06-26,2022-07-02,0,3
Cyprus,CY,CYP,875899,2022-07-03,TESSy RESPISURV,2022-W26,2022-06-19,2022-06-25,0,3
Cyprus,CY,CYP,875899,2022-06-26,TESSy RESPISURV,2022-W25,2022-06-12,2022-06-18,,3
Cyprus,CY,CYP,875899,2022-06-19,TESSy RESPISURV,2022-W24,2022-06-05,2022-06-11,,1
Cyprus,CY,CYP,875899,2022-06-12,TESSy RESPISURV,2022-W23,2022-05-29,2022-06-04,,0
Cyprus,CY,CYP,875899,2022-06-05,TESSy RESPISURV,2022-W22,2022-05-22,2022-05-28,0,1
Cyprus,CY,CYP,875899,2022-05-29,TESSy RESPISURV,2022-W21,2022-05-15,2022-05-21,,1
Cyprus,CY,CYP,875899,2022-05-22,TESSy RESPISURV,2022-W20,2022-05-08,2022-05-14,0,0
Cyprus,CY,CYP,875899,2022-05-15,TESSy RESPISURV,2022-W19,2022-05-01,2022-05-07,,1
Cyprus,CY,CYP,875899,2022-05-08,TESSy RESPISURV,2022-W18,2022-04-24,2022-04-30,0,1
Cyprus,CY,CYP,875899,2022-05-01,TESSy RESPISURV,2022-W17,2022-04-17,2022-04-23,0,2
Cyprus,CY,CYP,875899,2022-04-24,TESSy RESPISURV,2022-W16,2022-04-10,2022-04-16,0,2
Cyprus,CY,CYP,875899,2022-04-17,TESSy RESPISURV,2022-W15,2022-04-03,2022-04-09,0,1
Cyprus,CY,CYP,875899,2022-04-10,TESSy RESPISURV,2022-W14,2022-03-27,2022-04-02,0,4
Cyprus,CY,CYP,875899,2022-04-03,TESSy RESPISURV,2022-W13,2022-03-20,2022-03-26,0,5
Cyprus,CY,CYP,875899,2022-03-27,TESSy RESPISURV,2022-W12,2022-03-13,2022-03-19,0,7
Cyprus,CY,CYP,875899,2022-03-20,TESSy RESPISURV,2022-W11,2022-03-06,2022-03-12,0,5
Cyprus,CY,CYP,875899,2022-03-13,TESSy RESPISURV,2022-W10,2022-02-27,2022-03-05,0,4
Cyprus,CY,CYP,875899,2022-03-06,TESSy RESPISURV,2022-W09,2022-02-20,2022-02-26,0,5
Cyprus,CY,CYP,875899,2022-02-27,TESSy RESPISURV,2022-W08,2022-02-13,2022-02-19,0,5
Cyprus,CY,CYP,875899,2022-02-20,TESSy RESPISURV,2022-W07,2022-02-06,2022-02-12,0,5
Cyprus,CY,CYP,875899,2022-02-13,TESSy RESPISURV,2022-W06,2022-01-30,2022-02-05,0,7
Cyprus,CY,CYP,875899,2022-02-06,TESSy RESPISURV,2022-W05,2022-01-23,2022-01-29,0,8
Cyprus,CY,CYP,875899,2022-01-30,TESSy RESPISURV,2022-W04,2022-01-16,2022-01-22,0,7
Cyprus,CY,CYP,875899,2022-01-23,TESSy RESPISURV,2022-W03,2022-01-09,2022-01-15,1,10
Cyprus,CY,CYP,875899,2022-01-16,TESSy RESPISURV,2022-W02,2022-01-02,2022-01-08,2,13
Cyprus,CY,CYP,875899,2022-01-09,TESSy RESPISURV,2022-W01,2022-01-01,2022-01-01,1,12
Cyprus,CY,CYP,875899,2022-01-02,TESSy RESPISURV,2021-W52,2021-12-19,2021-12-25,1,10
Cyprus,CY,CYP,875899,2021-12-26,TESSy RESPISURV,2021-W51,2021-12-12,2021-12-18,1,8
